Although this program will describe the degrees of freedom in the 
problem, it will do so using the typedef for the elements. This is 
not neccesarily human readable, but there is a solution.
Pipe your program's output through c++filt, with the argument -t.
e.g. "./two_d_multi_poisson | c++filt -t > ReadableOutput.txt".
 (Disregarding the quotes)


Classifying Global Equation Numbers
--------------------------------------------------------------------------------
Eqn: 268 | Value 3 of Node 51 in Problem's Only Mesh.
Eqn: 269 | Value 4 of Node 51 in Problem's Only Mesh.
Eqn: 270 | Value 5 of Node 51 in Problem's Only Mesh.
Eqn: 271 | Value 0 of Node 52 in Problem's Only Mesh.
Eqn: 272 | Value 1 of Node 52 in Problem's Only Mesh.
Eqn: 273 | Value 2 of Node 52 in Problem's Only Mesh.
Eqn: 274 | Value 3 of Node 52 in Problem's Only Mesh.
Eqn: 275 | Value 0 of Node 53 in Problem's Only Mesh.
Eqn: 276 | Value 1 of Node 53 in Problem's Only Mesh.
Eqn: 277 | Value 2 of Node 53 in Problem's Only Mesh.
Eqn: 278 | Value 3 of Node 53 in Problem's Only Mesh.
Eqn: 279 | Value 4 of Node 53 in Problem's Only Mesh.
Eqn: 280 | Value 5 of Node 53 in Problem's Only Mesh.
Eqn: 281 | Value 0 of Node 54 in Problem's Only Mesh.
Eqn: 282 | Value 1 of Node 54 in Problem's Only Mesh.
Eqn: 283 | Value 2 of Node 54 in Problem's Only Mesh.
Eqn: 284 | Value 3 of Node 54 in Problem's Only Mesh.
Eqn: 285 | Value 0 of Node 55 in Problem's Only Mesh.
Eqn: 286 | Value 1 of Node 55 in Problem's Only Mesh.
Eqn: 287 | Value 2 of Node 55 in Problem's Only Mesh.
Eqn: 288 | Value 3 of Node 55 in Problem's Only Mesh.
Eqn: 289 | Value 0 of Node 56 in Problem's Only Mesh.
Eqn: 290 | Value 1 of Node 56 in Problem's Only Mesh.
Eqn: 291 | Value 2 of Node 56 in Problem's Only Mesh.
Eqn: 292 | Value 3 of Node 56 in Problem's Only Mesh.
Eqn: 293 | Value 0 of Node 57 in Problem's Only Mesh.
Eqn: 294 | Value 1 of Node 57 in Problem's Only Mesh.
Eqn: 295 | Value 2 of Node 57 in Problem's Only Mesh.
Eqn: 296 | Value 3 of Node 57 in Problem's Only Mesh.
Eqn: 297 | Value 0 of Node 58 in Problem's Only Mesh.
Eqn: 298 | Value 1 of Node 58 in Problem's Only Mesh.
Eqn: 299 | Value 2 of Node 58 in Problem's Only Mesh.
Eqn: 300 | Value 3 of Node 58 in Problem's Only Mesh.
Eqn: 301 | Value 0 of Node 59 in Problem's Only Mesh.
Eqn: 302 | Value 1 of Node 59 in Problem's Only Mesh.
Eqn: 303 | Value 2 of Node 59 in Problem's Only Mesh.
Eqn: 304 | Value 3 of Node 59 in Problem's Only Mesh.
Eqn: 305 | Value 0 of Node 60 in Problem's Only Mesh.
Eqn: 306 | Value 1 of Node 60 in Problem's Only Mesh.
Eqn: 307 | Value 2 of Node 60 in Problem's Only Mesh.
Eqn: 308 | Value 3 of Node 60 in Problem's Only Mesh.
Eqn: 309 | Value 4 of Node 60 in Problem's Only Mesh.
Eqn: 310 | Value 0 of Node 61 in Problem's Only Mesh.
Eqn: 311 | Value 1 of Node 61 in Problem's Only Mesh.
Eqn: 312 | Value 2 of Node 61 in Problem's Only Mesh.
Eqn: 313 | Value 3 of Node 61 in Problem's Only Mesh.
Eqn: 314 | Value 4 of Node 61 in Problem's Only Mesh.
Eqn: 315 | Value 5 of Node 61 in Problem's Only Mesh.
Eqn: 316 | Value 0 of Node 62 in Problem's Only Mesh.
Eqn: 317 | Value 1 of Node 62 in Problem's Only Mesh.
Eqn: 318 | Value 2 of Node 62 in Problem's Only Mesh.
Eqn: 319 | Value 3 of Node 62 in Problem's Only Mesh.
Eqn: 320 | Value 4 of Node 62 in Problem's Only Mesh.
Eqn: 321 | Value 5 of Node 62 in Problem's Only Mesh.
Eqn: 322 | Value 0 of Node 63 in Problem's Only Mesh.
Eqn: 323 | Value 1 of Node 63 in Problem's Only Mesh.
Eqn: 324 | Value 2 of Node 63 in Problem's Only Mesh.
Eqn: 325 | Value 3 of Node 63 in Problem's Only Mesh.
Eqn: 326 | Value 4 of Node 63 in Problem's Only Mesh.
Eqn: 327 | Value 0 of Node 64 in Problem's Only Mesh.
Eqn: 328 | Value 1 of Node 64 in Problem's Only Mesh.
Eqn: 329 | Value 2 of Node 64 in Problem's Only Mesh.
Eqn: 330 | Value 3 of Node 64 in Problem's Only Mesh.
Eqn: 331 | Value 4 of Node 64 in Problem's Only Mesh.
Eqn: 332 | Value 0 of Internal Data 0 in Element 56 [N5oomph35SingularNavierStokesSolutionElementINS_27SingularNavierStokesElementINS_9MyElementEEEEE]  in Problem's Only Mesh.
\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\
\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\
\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\
Classifying global eqn numbers in terms of elements.
--------------------------------------------------------------------------------
Eqns   | Source
--------------------------------------------------------------------------------
Eqn: 332 | Value 0 of External Data 0 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 0 | Value 0 of Node 0 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 1 | Value 1 of Node 0 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 2 | Value 2 of Node 0 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 3 | Value 3 of Node 0 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 4 | Value 4 of Node 0 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 5 | Value 5 of Node 0 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 6 | Value 6 of Node 0 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 7 | Value 0 of Node 1 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 8 | Value 1 of Node 1 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 9 | Value 2 of Node 1 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 10 | Value 3 of Node 1 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 11 | Value 4 of Node 1 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 12 | Value 0 of Node 2 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 13 | Value 1 of Node 2 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 14 | Value 2 of Node 2 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 15 | Value 3 of Node 2 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 16 | Value 4 of Node 2 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 17 | Value 5 of Node 2 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 18 | Value 6 of Node 2 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 130 | Value 0 of Node 3 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 131 | Value 1 of Node 3 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 132 | Value 2 of Node 3 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
Eqn: 133 | Value 3 of Node 3 in Element0 [N5oomph27SingularNavierStokesElementINS_9MyElementEEE]  in Sub-Mesh 0.
